Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
2024-07-10 04:59:00,04:59:00,CNR3152955814,Canceled by Customer, CID292419 , eBike , RT Nagar ,Rajarajeshwari Nagar,,,Change of plans,,,,369.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-08 00:46:00,00:46:00,CNR8815370263,Success,CID135685,eBike,Banashankari,Hennur,217.0,55.0,,,No,,857.0,Credit Card,26.0,4.1,4.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
2024-07-07 19:22:00,19:22:00, CNR4289788940 ,CANCELED BY DRIVER,CID361542,AUTO,Jayanagar,Richmond Town,,,,More than permitted people in there,,,652.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
2024-07-18 12:52:00,12:52:00, CNR4356355912 ,Success, CID720575 , Prime SUV ,Bannerghatta Road, BANNERGHATTA ROAD ,126.0,25.0,,, No ,,281.0,UPI,18.0,4.4,4.8,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-29 20:11:00,20:11:00,CNR6225480098,Success,CID637028,Mini,Devanahalli,Chamarajpet,77.0,115.0,,,NO,,335.0,UPI,14.0,3.8,3.2,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
,,,,,,,,,,,,,,,,,,,
2024-07-15 04:22:00,04:22:00,CNR6764204383,Canceled by Driver,CID269149,PRIME PLUS,Banashankari,Shantinagar,,,,CUSTOMER RELATED ISSUE,,,369.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
2024-07-25 13:29:00,13:29:00,CNR3487862296,Canceled by Customer,CID212179,PRIME PLUS,Indiranagar,HOSUR ROAD,,, Driver is not moving towards pickup location ,,,,574.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/11409/11409716.png 
,,,,,,,,,,,,,,,,,,,
2024-07-10 10:26:00,10:26:00, CNR2289182444 ,Canceled by Customer, CID373235 ,Bike,Rajajinagar,KR Puram,,,Driver is not moving towards pickup location,,,,272.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
2024-07-19 02:45:00,02:45:00, CNR9964198001 ,Canceled by Driver,CID532020,eBike,Basavanagudi,Cox Town,,,, More than permitted people in there ,,,770.0,,0.0,,, HTTPS://CDN-ICONS-PNG.FLATICON.COM/128/6839/6839867.PNG 
2024-07-29 15:43:00,15:43:00, CNR6776438510 ,Success,CID844600,Mini,INDIRANAGAR,Shivajinagar,35.0,25.0,,,No,,242.0, UPI ,36.0,3.4,3.8,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
2024-07-03 21:43:00,21:43:00,CNR9391808272,Canceled by Customer,CID714828, Prime SUV ,Sarjapur Road,Sarjapur Road,,,Driver is not moving towards pickup location,,,,266.0,,0.0,,,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
2024-07-25 01:30:00,01:30:00,CNR4849981253,Canceled by Customer,CID243898,Mini,Bannerghatta Road,Magadi Road,,,CHANGE OF PLANS,,,,451.0,,0.0,,, https://cdn-icons-png.flaticon.com/128/3202/3202926.png 
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
